"Filename","Time","Frequency"
"P7132035_14",10,NA
"P7132035_14",93,NA
"P7132035_14",177,47904
"P7132035_14",259,48192
"P7132035_14",343,48192
"P7132035_14",429,47058
"P7132035_14",512,47337
"P7132035_14",597,47619
"P7132035_14",680,47619
"P7132035_14",767,47058
"P7132035_14",850,47058
"P7132035_14",936,47337
"P7132035_14",1020,47058
"P7132035_14",1107,46783
"P7132035_14",1191,46783
"P7132035_14",1277,47058
"P7132035_14",1363,46511
"P7132035_14",1447,47058
"P7132035_14",1535,46511
"P7132035_14",1620,46242
"P7132035_14",1706,46783
"P7132035_14",1836,37037
"P7132035_14",1921,37209
"P7132035_14",2006,47058
"P7132035_14",2204,28268
"P7132035_14",2439,18475
"P7132035_14",2926,11080
"P7132035_14",4151,4672
"P7132035_14",4412,5383
"P7132035_14",4488,23738
"P7132035_14",4856,18018
"P7132035_14",4932,18018
"P7132035_14",5048,41666
"P7132035_14",5165,34334
"P7132035_14",5359,25723
"P7132035_14",5439,29197
"P7132035_14",5519,50000
"P7132035_14",5600,49689
"P7132035_14",5681,49382
"P7132035_14",5875,29090
"P7132035_14",6287,13201
"P7132035_14",6372,16096
"P7132035_14",6476,42328
"P7132035_14",6750,21164
"P7132035_14",6850,21390
"P7132035_14",6934,43478
"P7132035_14",7018,47619
"P7132035_14",7104,47058
"P7132035_14",7321,26402
"P7132035_14",7429,24615
"P7132035_14",7558,33755
"P7132035_14",7710,28469
"P7132035_14",7819,30651
"P7132035_14",7900,42105
"P7132035_14",7987,47619
"P7132035_14",8067,47904
"P7132035_14",8489,15936
"P7132035_14",8573,15810
"P7132035_14",8658,47337
"P7132035_14",8743,47058
"P7132035_14",8826,47619
"P7132035_14",9359,12987
"P7132035_14",9589,10484
"P7132035_14",9972,13050
"P7132035_14",10059,17021
"P7132035_14",10141,47337
"P7132035_14",10273,37383
"P7132035_14",10406,30188
"P7132035_14",10488,37209
"P7132035_14",10752,23121
"P7132035_14",10837,22922
"P7132035_14",10921,47337
"P7132035_14",11008,46783
"P7132035_14",11090,47337
"P7132035_14",11175,47904
"P7132035_14",11282,41666
"P7132035_14",11364,42328
"P7132035_14",11489,38647
"P7132035_14",11846,16597
"P7132035_14",12012,15296
