Folder1	Folder2	Night	Label	Number
cell-0	20170610	2017/06/10	LABO	1
cell-0	20170610	2017/06/10	LACI	1
cell-0	20170610	2017/06/10	NOID	9
cell-0	20170610	2017/06/10	NYHU	4
cell-0	20170610	2017/06/10	TABR	2
cell-0	20170611	2017/06/11	Feeding	1
cell-0	20170611	2017/06/11	LABO	4
cell-0	20170611	2017/06/11	LACI	1
cell-0	20170611	2017/06/11	NOID	9
cell-0	20170611	2017/06/11	NYHU	8
cell-0	20170611	2017/06/11	TABR	1
cell-100	20170625	2017/06/25	EPFU	10
cell-100	20170625	2017/06/25	LABO	5
cell-100	20170625	2017/06/25	LACI	1
cell-100	20170625	2017/06/25	LANO	7
cell-100	20170625	2017/06/25	MYSPP	6
cell-100	20170625	2017/06/25	NOID	4
cell-100	20170625	2017/06/25	foraging	1
cell-100	20170626	2017/06/26	EPFU	16
cell-100	20170626	2017/06/26	LABO	5
cell-100	20170626	2017/06/26	LACI	2
cell-100	20170626	2017/06/26	LANO	6
cell-100	20170626	2017/06/26	NOID	8
cell-100	20170626	2017/06/26	NYHU	1
cell-100	20170626	2017/06/26	foraging	2
cell-12	20170615	2017/06/15	EPFU	1
cell-12	20170615	2017/06/15	LABO	4
cell-12	20170615	2017/06/15	LANO	3
cell-12	20170615	2017/06/15	NOID	13
cell-12	20170615	2017/06/15	NYHU	4
cell-12	20170615	2017/06/15	PESU	2
cell-12	20170615	2017/06/15	foraging	1
cell-12	20170618	2017/06/18	EPFU	5
cell-12	20170618	2017/06/18	LABO	6
cell-12	20170618	2017/06/18	LANO	5
cell-12	20170618	2017/06/18	NOID	14
cell-12	20170618	2017/06/18	NYHU	3
cell-12	20170618	2017/06/18	TABR	8
cell-13	20170706	2017/07/06	LABO	12
cell-13	20170706	2017/07/06	MYSPP	1
cell-13	20170706	2017/07/06	NOID	29
cell-13	20170706	2017/07/06	NYHU	11
cell-13	20170706	2017/07/06	PESU	9
cell-13	20170709	2017/07/09	LABO	23
cell-13	20170709	2017/07/09	NOID	15
cell-13	20170709	2017/07/09	NYHU	17
cell-13	20170709	2017/07/09	PESU	14
cell-14	20170601	2017/06/01	LABO	6
cell-14	20170601	2017/06/01	NOID	2
cell-14	20170601	2017/06/01	NYHU	3
cell-14	20170601	2017/06/01	PESU	2
cell-14	20170602	2017/06/02	LABO	6
cell-14	20170602	2017/06/02	NYHU	1
cell-14	20170602	2017/06/02	PESU	3
cell-15	20170716	2017/07/16	EPFU	1
cell-15	20170716	2017/07/16	LABO	11
cell-15	20170716	2017/07/16	LANO	3
cell-15	20170716	2017/07/16	NOID	16
cell-15	20170716	2017/07/16	NYHU	3
cell-15	20170716	2017/07/16	PESU	4
cell-15	20170716	2017/07/16	TABR	2
cell-15	20170717	2017/07/17	LABO	12
cell-15	20170717	2017/07/17	LANO	2
cell-15	20170717	2017/07/17	NOID	17
cell-15	20170717	2017/07/17	NYHU	6
cell-15	20170717	2017/07/17	PESU	2
cell-15	20170717	2017/07/17	TABR	3
cell-18	20170605	2017/06/05	EPFU	1
cell-18	20170605	2017/06/05	LABO	10
cell-18	20170605	2017/06/05	MYSPP	1
cell-18	20170605	2017/06/05	NOID	9
cell-18	20170605	2017/06/05	NYHU	3
cell-18	20170605	2017/06/05	PESU	1
cell-18	20170605	2017/06/05	TABR	3
cell-18	20170607	2017/06/07	LABO	7
cell-18	20170607	2017/06/07	NOID	8
cell-18	20170607	2017/06/07	NYHU	2
cell-18	20170607	2017/06/07	PESU	1
cell-18	20170607	2017/06/07	TABR	1
cell-1	20170609	2017/06/09	Feeding	1
cell-1	20170609	2017/06/09	LABO	14
cell-1	20170609	2017/06/09	NOID	12
cell-1	20170609	2017/06/09	NYHU	12
cell-1	20170609	2017/06/09	PESU	6
cell-1	20170612	2017/06/12	LABO	4
cell-1	20170612	2017/06/12	MYSPP	1
cell-1	20170612	2017/06/12	NOID	11
cell-1	20170612	2017/06/12	NYHU	4
cell-1	20170612	2017/06/12	PESU	2
cell-1	20170612	2017/06/12	TABR	1
cell-21	20170717	2017/07/17	EPFU	3
cell-21	20170717	2017/07/17	LABO	4
cell-21	20170717	2017/07/17	NOID	15
cell-21	20170717	2017/07/17	NYHU	4
cell-21	20170717	2017/07/17	TABR	1
cell-21	20170724	2017/07/24	EPFU	6
cell-21	20170724	2017/07/24	LABO	15
cell-21	20170724	2017/07/24	LANO	2
cell-21	20170724	2017/07/24	MYSPP	1
cell-21	20170724	2017/07/24	NOID	13
cell-21	20170724	2017/07/24	NYHU	5
cell-21	20170724	2017/07/24	PESU	4
cell-21	20170724	2017/07/24	TABR	3
cell-21	20170724	2017/07/24	foraging	3
cell-23	20170721	2017/07/21	EPFU	2
cell-23	20170721	2017/07/21	LABO	12
cell-23	20170721	2017/07/21	LANO	7
cell-23	20170721	2017/07/21	NOID	21
cell-23	20170721	2017/07/21	NYHU	6
cell-23	20170721	2017/07/21	PESU	3
cell-24	20170621	2017/06/21	LABO	17
cell-24	20170621	2017/06/21	LANO	1
cell-24	20170621	2017/06/21	NOID	11
cell-24	20170621	2017/06/21	NYHU	9
cell-24	20170621	2017/06/21	TABR	1
cell-24	20170621	2017/06/21	foraging	2
cell-24	20170629	2017/06/29	EPFU	2
cell-24	20170629	2017/06/29	LABO	23
cell-24	20170629	2017/06/29	LACI	1
cell-24	20170629	2017/06/29	MYSPP	1
cell-24	20170629	2017/06/29	NOID	16
cell-24	20170629	2017/06/29	NYHU	11
cell-24	20170629	2017/06/29	PESU	2
cell-24	20170629	2017/06/29	TABR	1
cell-24	20170629	2017/06/29	foraging	2
cell-24	20170629	2017/06/29	social	1
cell-26	20170715	2017/07/15	EPFU	2
cell-26	20170715	2017/07/15	LABO	16
cell-26	20170715	2017/07/15	LANO	1
cell-26	20170715	2017/07/15	NOID	12
cell-26	20170715	2017/07/15	NYHU	5
cell-26	20170715	2017/07/15	PESU	6
cell-26	20170715	2017/07/15	TABR	1
cell-26	20170719	2017/07/19	EPFU	4
cell-26	20170719	2017/07/19	LABO	9
cell-26	20170719	2017/07/19	LANO	3
cell-26	20170719	2017/07/19	NOID	20
cell-26	20170719	2017/07/19	NYHU	12
cell-26	20170719	2017/07/19	PESU	12
cell-29	20170604	2017/06/04	EPFU	1
cell-29	20170604	2017/06/04	LABO	3
cell-29	20170604	2017/06/04	LANO	1
cell-29	20170604	2017/06/04	NOID	1
cell-29	20170604	2017/06/04	NYHU	1
cell-29	20170604	2017/06/04	PESU	2
cell-29	20170604	2017/06/04	TABR	1
cell-30	20170718	2017/07/18	EPFU	3
cell-30	20170718	2017/07/18	LABO	4
cell-30	20170718	2017/07/18	LANO	3
cell-30	20170718	2017/07/18	NOID	12
cell-30	20170718	2017/07/18	NYHU	7
cell-30	20170718	2017/07/18	PESU	4
cell-30	20170718	2017/07/18	TABR	1
cell-30	20170722	2017/07/22	EPFU	8
cell-30	20170722	2017/07/22	LABO	10
cell-30	20170722	2017/07/22	LACI	2
cell-30	20170722	2017/07/22	LANO	8
cell-30	20170722	2017/07/22	NOID	26
cell-30	20170722	2017/07/22	NYHU	16
cell-30	20170722	2017/07/22	PESU	6
cell-30	20170722	2017/07/22	TABR	4
cell-32	20170615	2017/06/15	EPFU	3
cell-32	20170615	2017/06/15	LABO	5
cell-32	20170615	2017/06/15	LANO	2
cell-32	20170615	2017/06/15	NOID	15
cell-32	20170615	2017/06/15	NYHU	5
cell-32	20170615	2017/06/15	TABR	4
cell-32	20170618	2017/06/18	EPFU	2
cell-32	20170618	2017/06/18	LABO	8
cell-32	20170618	2017/06/18	LANO	5
cell-32	20170618	2017/06/18	NOID	14
cell-32	20170618	2017/06/18	NYHU	10
cell-32	20170618	2017/06/18	PESU	1
cell-32	20170618	2017/06/18	TABR	4
cell-33	20170720	2017/07/20	EPFU	9
cell-33	20170720	2017/07/20	LABO	19
cell-33	20170720	2017/07/20	NOID	12
cell-33	20170720	2017/07/20	NYHU	18
cell-33	20170720	2017/07/20	PESU	11
cell-37	20170614	2017/06/14	EPFU	1
cell-37	20170614	2017/06/14	LABO	11
cell-37	20170614	2017/06/14	LANO	1
cell-37	20170614	2017/06/14	NOID	8
cell-37	20170614	2017/06/14	NYHU	8
cell-37	20170614	2017/06/14	TABR	2
cell-37	20170617	2017/06/17	EPFU	2
cell-37	20170617	2017/06/17	LABO	17
cell-37	20170617	2017/06/17	LANO	1
cell-37	20170617	2017/06/17	NOID	6
cell-37	20170617	2017/06/17	NYHU	17
cell-37	20170617	2017/06/17	PESU	2
cell-37	20170617	2017/06/17	TABR	1
cell-39	20170623	2017/06/23	EPFU	4
cell-39	20170623	2017/06/23	LABO	11
cell-39	20170623	2017/06/23	LACI	2
cell-39	20170623	2017/06/23	LANO	1
cell-39	20170623	2017/06/23	MYSPP	2
cell-39	20170623	2017/06/23	NOID	13
cell-39	20170623	2017/06/23	NYHU	1
cell-39	20170623	2017/06/23	PESU	9
cell-39	20170624	2017/06/24	EPFU	1
cell-39	20170624	2017/06/24	LABO	7
cell-39	20170624	2017/06/24	LACI	3
cell-39	20170624	2017/06/24	LANO	5
cell-39	20170624	2017/06/24	MYSPP	1
cell-39	20170624	2017/06/24	NOID	8
cell-39	20170624	2017/06/24	NYHU	1
cell-39	20170624	2017/06/24	PESU	7
cell-39	20170624	2017/06/24	TABR	3
cell-3	20170712	2017/07/12	LABO	22
cell-3	20170712	2017/07/12	NOID	18
cell-3	20170712	2017/07/12	NYHU	8
cell-3	20170712	2017/07/12	PESU	11
cell-3	20170712	2017/07/12	TABR	1
cell-3	20170713	2017/07/13	LABO	26
cell-3	20170713	2017/07/13	MYSPP	1
cell-3	20170713	2017/07/13	NOID	19
cell-3	20170713	2017/07/13	NYHU	13
cell-3	20170713	2017/07/13	PESU	15
cell-42	20170627	2017/06/27	EPFU	25
cell-42	20170627	2017/06/27	LABO	15
cell-42	20170627	2017/06/27	MYSPP	3
cell-42	20170627	2017/06/27	NOID	12
cell-42	20170627	2017/06/27	PESU	1
cell-42	20170628	2017/06/28	EPFU	7
cell-42	20170628	2017/06/28	LABO	1
cell-42	20170628	2017/06/28	LANO	6
cell-42	20170628	2017/06/28	MYSPP	4
cell-42	20170628	2017/06/28	NOID	9
cell-42	20170628	2017/06/28	NYHU	4
cell-42	20170628	2017/06/28	TABR	1
cell-44	20170627	2017/06/27	EPFU	2
cell-44	20170627	2017/06/27	LABO	8
cell-44	20170627	2017/06/27	LANO	2
cell-44	20170627	2017/06/27	MYSPP	1
cell-44	20170627	2017/06/27	NOID	9
cell-44	20170710	2017/07/10	EPFU	8
cell-44	20170710	2017/07/10	LABO	4
cell-44	20170710	2017/07/10	LACI	4
cell-44	20170710	2017/07/10	LANO	1
cell-44	20170710	2017/07/10	NOID	7
cell-44	20170710	2017/07/10	NYHU	1
cell-44	20170710	2017/07/10	TABR	1
cell-44	20170710	2017/07/10	foraging	1
cell-47	20170720	2017/07/20	EPFU	3
cell-47	20170720	2017/07/20	LABO	15
cell-47	20170720	2017/07/20	LANO	2
cell-47	20170720	2017/07/20	MYSPP	2
cell-47	20170720	2017/07/20	NOID	35
cell-47	20170720	2017/07/20	NYHU	14
cell-47	20170720	2017/07/20	PESU	1
cell-47	20170720	2017/07/20	social	1
cell-47	20170722	2017/07/22	EPFU	2
cell-47	20170722	2017/07/22	LABO	37
cell-47	20170722	2017/07/22	MYSPP	1
cell-47	20170722	2017/07/22	NOID	33
cell-47	20170722	2017/07/22	NYHU	18
cell-47	20170722	2017/07/22	PESU	4
cell-52	20170726	2017/07/26	EPFU	19
cell-52	20170726	2017/07/26	LABO	38
cell-52	20170726	2017/07/26	LACI	1
cell-52	20170726	2017/07/26	LANO	3
cell-52	20170726	2017/07/26	MYSPP	1
cell-52	20170726	2017/07/26	NOID	40
cell-52	20170726	2017/07/26	NYHU	10
cell-52	20170726	2017/07/26	PESU	9
cell-52	20170726	2017/07/26	TABR	2
cell-52	20170727	2017/07/27	EPFU	12
cell-52	20170727	2017/07/27	LABO	18
cell-52	20170727	2017/07/27	LACI	1
cell-52	20170727	2017/07/27	LANO	8
cell-52	20170727	2017/07/27	NOID	33
cell-52	20170727	2017/07/27	NYHU	17
cell-52	20170727	2017/07/27	PESU	7
cell-52	20170727	2017/07/27	TABR	1
cell-52	20170727	2017/07/27	foraging	4
cell-52	20170727	2017/07/27	social	1
cell-53	20170711	2017/07/11	EPFU	1
cell-53	20170711	2017/07/11	LABO	15
cell-53	20170711	2017/07/11	LANO	1
cell-53	20170711	2017/07/11	MYSPP	2
cell-53	20170711	2017/07/11	NOID	20
cell-53	20170711	2017/07/11	NYHU	13
cell-53	20170711	2017/07/11	PESU	9
cell-53	20170711	2017/07/11	TABR	1
cell-53	20170711	2017/07/11	foraging	1
cell-53	20170714	2017/07/14	EPFU	1
cell-53	20170714	2017/07/14	LABO	8
cell-53	20170714	2017/07/14	LANO	4
cell-53	20170714	2017/07/14	MYSPP	2
cell-53	20170714	2017/07/14	NOID	25
cell-53	20170714	2017/07/14	NYHU	15
cell-53	20170714	2017/07/14	PESU	3
cell-53	20170714	2017/07/14	TABR	4
cell-54	20170716	2017/07/16	EPFU	4
cell-54	20170716	2017/07/16	LABO	13
cell-54	20170716	2017/07/16	LANO	2
cell-54	20170716	2017/07/16	MYSPP	1
cell-54	20170716	2017/07/16	NOID	17
cell-54	20170716	2017/07/16	NYHU	7
cell-54	20170716	2017/07/16	PESU	5
cell-54	20170716	2017/07/16	foraging	3
cell-54	20170723	2017/07/23	EPFU	2
cell-54	20170723	2017/07/23	LABO	11
cell-54	20170723	2017/07/23	LANO	1
cell-54	20170723	2017/07/23	MYSPP	5
cell-54	20170723	2017/07/23	NOID	25
cell-54	20170723	2017/07/23	NYHU	12
cell-54	20170723	2017/07/23	PESU	1
cell-54	20170723	2017/07/23	TABR	1
cell-5	20170628	2017/06/28	EPFU	2
cell-5	20170628	2017/06/28	LABO	17
cell-5	20170628	2017/06/28	LACI	9
cell-5	20170628	2017/06/28	LANO	4
cell-5	20170628	2017/06/28	MYSPP	3
cell-5	20170628	2017/06/28	NOID	8
cell-5	20170628	2017/06/28	NYHU	6
cell-5	20170628	2017/06/28	PESU	10
cell-5	20170629	2017/06/29	EPFU	4
cell-5	20170629	2017/06/29	LABO	26
cell-5	20170629	2017/06/29	LACI	5
cell-5	20170629	2017/06/29	LANO	3
cell-5	20170629	2017/06/29	NOID	12
cell-5	20170629	2017/06/29	NYHU	10
cell-5	20170629	2017/06/29	PESU	22
cell-66	20170705	2017/07/05	EPFU	5
cell-66	20170705	2017/07/05	LABO	3
cell-66	20170705	2017/07/05	LACI	1
cell-66	20170705	2017/07/05	LANO	7
cell-66	20170705	2017/07/05	NOID	10
cell-66	20170705	2017/07/05	NYHU	4
cell-66	20170705	2017/07/05	PESU	2
cell-66	20170705	2017/07/05	TABR	4
cell-66	20170711	2017/07/11	EPFU	2
cell-66	20170711	2017/07/11	LABO	6
cell-66	20170711	2017/07/11	LANO	4
cell-66	20170711	2017/07/11	NOID	14
cell-66	20170711	2017/07/11	NYHU	5
cell-66	20170711	2017/07/11	TABR	4
cell-6	20170621	2017/06/21	EPFU	8
cell-6	20170621	2017/06/21	LABO	4
cell-6	20170621	2017/06/21	LACI	3
cell-6	20170621	2017/06/21	LANO	9
cell-6	20170621	2017/06/21	MYSPP	2
cell-6	20170621	2017/06/21	NOID	11
cell-6	20170621	2017/06/21	NYHU	6
cell-6	20170621	2017/06/21	PESU	14
cell-6	20170621	2017/06/21	TABR	5
cell-6	20170622	2017/06/22	EPFU	2
cell-6	20170622	2017/06/22	LABO	1
cell-6	20170622	2017/06/22	LACI	3
cell-6	20170622	2017/06/22	LANO	10
cell-6	20170622	2017/06/22	NOID	4
cell-6	20170622	2017/06/22	NYHU	1
cell-6	20170622	2017/06/22	PESU	10
cell-6	20170622	2017/06/22	TABR	12
cell-75	20170726	2017/07/26	EPFU	14
cell-75	20170726	2017/07/26	LABO	23
cell-75	20170726	2017/07/26	LANO	7
cell-75	20170726	2017/07/26	MYSPP	2
cell-75	20170726	2017/07/26	NOID	40
cell-75	20170726	2017/07/26	NYHU	29
cell-75	20170726	2017/07/26	PESU	8
cell-75	20170726	2017/07/26	TABR	1
cell-75	20170726	2017/07/26	foraging	2
cell-75	20170727	2017/07/27	EPFU	13
cell-75	20170727	2017/07/27	LABO	23
cell-75	20170727	2017/07/27	LANO	5
cell-75	20170727	2017/07/27	MYSPP	2
cell-75	20170727	2017/07/27	NOID	32
cell-75	20170727	2017/07/27	NYHU	22
cell-75	20170727	2017/07/27	PESU	7
cell-75	20170727	2017/07/27	TABR	1
cell-75	20170727	2017/07/27	foraging	2
cell-7	20170531	2017/05/31	LABO	3
cell-7	20170531	2017/05/31	NYHU	5
cell-7	20170531	2017/05/31	PESU	1
cell-7	20170603	2017/06/03	LABO	1
cell-7	20170603	2017/06/03	NOID	2
