"Filename","Time","Frequency"
"P7132037_05",10,NA
"P7132037_05",96,NA
"P7132037_05",187,45197
"P7132037_05",273,45197
"P7132037_05",361,45977
"P7132037_05",445,46511
"P7132037_05",535,45977
"P7132037_05",621,45454
"P7132037_05",753,36697
"P7132037_05",909,27777
"P7132037_05",1042,27681
"P7132037_05",1217,25974
"P7132037_05",1350,25974
"P7132037_05",1526,25889
"P7132037_05",1700,22857
"P7132037_05",1854,24390
"P7132037_05",2050,22857
"P7132037_05",2275,19002
"P7132037_05",2475,18823
"P7132037_05",3062,10165
"P7132037_05",5806,NA
"P7132037_05",15179,NA
"P7132037_05",17190,NA
"P7132037_05",94460,NA
"P7132037_05",94950,NA
"P7132037_05",95369,8800
"P7132037_05",95685,10884
"P7132037_05",95985,12987
"P7132037_05",96262,13864
"P7132037_05",96472,16427
"P7132037_05",96686,18867
"P7132037_05",96945,16913
"P7132037_05",97185,16032
"P7132037_05",97268,24767
"P7132037_05",97470,28070
"P7132037_05",97595,24464
"P7132037_05",97679,38277
"P7132037_05",97808,37558
"P7132037_05",98076,20151
"P7132037_05",98181,21447
"P7132037_05",98267,41884
"P7132037_05",98374,41450
"P7132037_05",98650,20887
"P7132037_05",98884,15686
"P7132037_05",98992,23391
"P7132037_05",99077,41450
"P7132037_05",99187,41025
"P7132037_05",99273,40816
"P7132037_05",99403,37037
"P7132037_05",99617,23255
"P7132037_05",99937,14981
"P7132037_05",100067,17777
"P7132037_05",100178,33195
"P7132037_05",100309,33057
"P7132037_05",100414,33898
"P7132037_05",100548,33472
"P7132037_05",100719,26229
"P7132037_05",100914,21857
"P7132037_05",101180,17353
"P7132037_05",101597,11713
"P7132037_05",101796,12987
"P7132037_05",101926,24316
"P7132037_05",102185,20565
"P7132037_05",102540,13029
"P7132037_05",184903,NA
"P7132037_05",189966,NA
"P7132037_05",190158,NA
"P7132037_05",190434,17094
"P7132037_05",190572,19323
"P7132037_05",190713,28673
"P7132037_05",190835,30418
"P7132037_05",190917,39215
"P7132037_05",191018,43715
"P7132037_05",191122,39024
"P7132037_05",191225,38647
"P7132037_05",191331,38277
"P7132037_05",191412,42780
"P7132037_05",191494,49079
"P7132037_05",191621,38277
"P7132037_05",191725,34632
"P7132037_05",191808,42780
"P7132037_05",191959,34188
"P7132037_05",192043,34042
"P7132037_05",192127,47619
"P7132037_05",192212,47337
"P7132037_05",192297,47058
"P7132037_05",192381,47337
"P7132037_05",192465,47619
"P7132037_05",192551,47058
"P7132037_05",192637,46511
"P7132037_05",192723,46511
"P7132037_05",192828,41884
"P7132037_05",192913,42105
"P7132037_05",193001,46242
"P7132037_05",193088,45714
"P7132037_05",193170,47337
"P7132037_05",193258,47058
"P7132037_05",193370,40000
"P7132037_05",193453,41025
"P7132037_05",193537,47904
"P7132037_05",193713,30769
"P7132037_05",193799,30534
"P7132037_05",193883,47058
"P7132037_05",193991,41666
"P7132037_05",194169,27972
"P7132037_05",194255,30303
"P7132037_05",194340,46783
"P7132037_05",194426,46783
"P7132037_05",194534,41237
"P7132037_05",194695,29739
"P7132037_05",194780,32520
"P7132037_05",194865,47058
"P7132037_05",194952,46511
"P7132037_05",195038,46242
"P7132037_05",195126,45977
"P7132037_05",195314,28985
"P7132037_05",195395,29739
"P7132037_05",195482,47619
"P7132037_05",195569,45977
"P7132037_05",195655,46242
"P7132037_05",195742,46242
"P7132037_05",195829,45977
"P7132037_05",195917,45714
"P7132037_05",196235,19704
"P7132037_05",196321,19801
"P7132037_05",196408,46242
"P7132037_05",196495,45977
"P7132037_05",196581,46242
"P7132037_05",196668,46242
"P7132037_05",196757,45454
"P7132037_05",196844,45454
"P7132037_05",196931,45977
"P7132037_05",197042,40404
"P7132037_05",197129,40404
"P7132037_05",197368,24539
"P7132037_05",197497,21739
"P7132037_05",197626,31007
"P7132037_05",197720,35874
"P7132037_05",197825,40201
"P7132037_05",197980,30769
"P7132037_05",198133,25974
"P7132037_05",198243,30418
"P7132037_05",198354,36199
"P7132037_05",198443,40000
"P7132037_05",198529,45714
"P7132037_05",198639,40816
"P7132037_05",198727,40404
"P7132037_05",198817,44943
"P7132037_05",198906,44692
"P7132037_05",198993,45454
"P7132037_05",199080,45977
"P7132037_05",199168,45714
"P7132037_05",199256,45454
"P7132037_05",199368,40000
"P7132037_05",199503,32388
"P7132037_05",199591,35874
"P7132037_05",199700,40609
"P7132037_05",199810,36529
"P7132037_05",199944,32786
"P7132037_05",200099,27681
"P7132037_05",200416,16949
"P7132037_05",221351,NA
"P7132037_05",239492,NA
"P7132037_05",283312,NA
"P7132037_05",283511,NA
"P7132037_05",283659,23054
"P7132037_05",283733,36036
"P7132037_05",283849,42105
"P7132037_05",283925,41666
"P7132037_05",284001,52631
"P7132037_05",284078,52287
"P7132037_05",284196,41025
"P7132037_05",284276,40404
"P7132037_05",284355,50314
"P7132037_05",284456,44444
"P7132037_05",284534,44692
"P7132037_05",284615,50314
"P7132037_05",284696,49382
"P7132037_05",284778,49079
"P7132037_05",284859,49079
"P7132037_05",284942,48780
"P7132037_05",285025,48192
"P7132037_05",285108,48192
"P7132037_05",285190,48484
"P7132037_05",285273,48484
"P7132037_05",285357,47904
"P7132037_05",285441,47619
"P7132037_05",285524,47904
"P7132037_05",285609,47619
"P7132037_05",285693,47337
"P7132037_05",285799,42105
"P7132037_05",285884,41884
"P7132037_05",285969,47058
"P7132037_05",286056,46511
