Time,Frequency
0.000000,46511.628
0.000085,46511.628
0.000172,46511.628
0.000259,45977.011
0.000344,46511.628
0.000432,46242.775
0.000516,46511.628
0.000600,47619.048
0.000685,47337.278
0.000772,46511.628
0.000860,45714.286
0.000945,46242.775
0.001031,46783.626
0.001118,46242.775
0.001205,45977.011
0.001292,45977.011
0.001378,46242.775
0.001467,45714.286
0.001552,45977.011
0.001639,46511.628
0.001726,45977.011
0.001812,46242.775
0.001901,45714.286
0.001987,45714.286
0.002076,45714.286
0.002163,45454.545
0.002316,33333.333
0.002513,22857.143
0.002665,22922.636
0.095464,11958.146
0.095590,19323.671
0.095857,20356.234
0.096133,14732.965
0.096238,20997.375
0.096389,31250.000
0.179713,36866.359
0.179960,23952.096
0.180045,24096.386
0.180131,46783.626
0.180260,37209.302
0.180618,16427.105
0.180771,15655.577
0.180859,33195.021
0.180966,41025.641
0.181097,33613.445
0.181225,30888.031
0.181336,33472.803
0.181443,36697.248
0.181641,26229.508
0.181990,14625.229
0.182351,11267.606
0.264194,24922.118
0.264524,19323.671
0.264959,10457.516
0.265228,11363.636
0.265422,17278.618
0.265508,28571.429
0.265807,20779.221
0.266063,14414.414
0.266172,21917.808
0.266305,33057.851
0.266413,33195.021
0.266754,17817.372
2.121802,8290.155
2.122082,9019.166
2.122674,9174.312
2.122847,10457.516
2.123445,10376.135
2.123531,11695.906
2.123619,45977.011
2.123707,45454.545
2.123816,40609.137
2.123904,40609.137
2.309414,23529.412
2.309584,22222.222
2.309799,20779.221
2.309881,26936.027
2.310100,26578.073
2.310182,26578.073
2.310266,48192.771
2.310529,23054.755
2.310614,22988.506
2.310698,47337.278
2.310986,21505.376
2.311071,21447.721
2.311155,47337.278
2.311241,47058.824
2.311327,46511.628
2.311412,46783.626
2.311789,17316.017
2.311874,17316.017
2.311960,46783.626
2.312046,46511.628
2.312134,45977.011
2.312425,21108.179
2.312796,12084.592
2.312882,17505.470
2.312969,46242.775
2.313056,45977.011
2.313142,46242.775
2.313229,46242.775
2.313318,45454.545
2.313639,19512.195
2.314447,7085.917
2.314738,7279.345
2.409621,8639.309
2.409859,9569.378
2.502962,15968.064
2.503084,24539.877
2.503208,32520.325
2.503393,25889.968
2.503624,19230.769
2.503791,20100.503
2.503897,29304.029
2.504003,37735.849
2.504108,37914.692
2.504192,42328.042
2.504319,37914.692
2.504448,31250.000
2.504532,37558.685
2.504680,34482.759
2.504765,34334.764
2.504895,37209.302
2.504978,37558.685
2.505131,33898.305
2.505215,33755.274
2.505434,26402.640
2.505517,26490.066
2.505602,47619.048
2.505687,47058.824
2.505908,26143.791
2.506015,24390.244
2.506100,41666.667
2.506186,46783.626
2.506296,40816.327
2.506667,16632.017
2.506754,17467.249
2.506840,46242.775
2.506927,46242.775
2.507011,46783.626
2.507476,14571.949
2.507563,14492.754
2.507649,46242.775
2.507736,46242.775
2.507823,45977.011
2.507911,45714.286
2.507997,45977.011
2.508343,18518.519
2.508684,11644.833
2.508772,18648.019
2.508859,45714.286
2.508945,46242.775
2.509033,45977.011
2.509144,40201.005
2.509253,36363.636
2.509343,40201.005
2.509472,36529.680
2.705350,16194.332
2.705433,23529.412
2.705674,24691.358
2.705779,23121.387
2.705863,42328.042
2.705947,47619.048
2.706191,24390.244
2.706275,24390.244
2.706360,47337.278
2.706445,47058.824
2.706714,22598.870
2.706908,17278.618
2.706992,28776.978
2.707077,47337.278
2.707164,46511.628
2.707272,41025.641
2.707757,13490.725
2.707844,13986.014
2.707930,46242.775
2.708016,46511.628
2.708102,46511.628
2.708189,46242.775
2.708278,45454.545
2.708628,18223.235
2.708791,15594.542
2.708899,29520.295
2.708985,41237.113
2.709072,46242.775
2.709159,45977.011
2.709247,45714.286
2.709334,45714.286
2.709420,46242.775
2.709617,28268.551
2.711254,4362.050
2.888414,19900.498
2.888718,20671.835
2.888820,19704.433
2.888904,43010.753
2.889272,17699.115
2.889378,16877.637
2.889703,18561.485
2.890237,9313.155
2.890590,9019.166
2.892457,3603.604
4.927172,5578.801
5.512810,19138.756
5.512959,27303.754
5.513195,20779.221
5.513344,20779.221
5.513517,24844.720
5.513709,21917.808
5.513793,28985.507
5.514031,24844.720
5.514269,16806.723
5.514543,15625.000
5.514702,18475.751
5.514967,18867.925
5.515052,22857.143
5.515137,47058.824
5.515411,22284.123
5.515555,19138.756
5.515642,34632.035
5.515913,22346.369
5.516238,13422.819
5.516457,14705.882
5.717499,17278.618
5.717753,13513.514
5.718071,13986.014
5.718287,14981.273
5.718542,16985.138
5.718627,23529.412
5.718908,21857.923
5.719181,14440.433
5.719279,21563.342
5.719363,43956.044
5.719649,21621.622
5.719754,20460.358
5.719840,41884.817
5.719927,46242.775
5.720219,21108.179
5.720342,19277.108
5.720428,38277.512
5.720514,46511.628
5.720603,45714.286
5.721218,11363.636
5.721348,10738.255
5.721521,26402.640
5.827665,7782.101
5.828147,6097.561
5.828962,6168.080
5.935346,29850.746
5.935447,35714.286
5.935530,43478.261
5.935613,48192.771
5.935695,48484.848
5.935777,48780.488
5.935862,47904.192
5.935945,47619.048
5.936029,47904.192
5.936113,47619.048
5.936196,47904.192
5.936280,47904.192
5.936365,47337.278
5.936449,47337.278
5.936534,47337.278
5.936617,47619.048
5.936702,47619.048
5.936787,47058.824
5.936873,46783.626
5.936958,46783.626
5.937042,47337.278
5.937128,47058.824
5.937213,46783.626
5.937298,47058.824
5.937408,41025.641
5.937490,41666.667
5.937575,47904.192
5.937685,41025.641
5.937769,41237.113
5.937855,47058.824
5.937965,40816.327
5.938070,37209.302
5.938156,41884.817
5.938335,30188.679
5.938417,30651.341
5.938502,47904.192
5.938588,46783.626
5.938675,46242.775
5.938850,30534.351
5.938934,30888.031
5.939020,47058.824
5.939106,46511.628
5.939194,45977.011
5.939284,44943.820
5.939502,25974.026
5.939586,26490.066
5.939673,46783.626
5.939759,46242.775
5.939891,36697.248
5.940046,27874.564
5.940178,27874.564
5.940262,37037.037
5.940349,46783.626
5.940436,45977.011
5.940523,45977.011
5.940610,45977.011
5.940697,45977.011
5.940784,45977.011
5.940875,44943.820
5.941026,33057.851
5.941316,18140.590
5.941403,21220.159
5.941489,46242.775
5.941577,45977.011
5.941686,40609.137
5.941773,40816.327
5.941860,45977.011
5.942275,15936.255
5.942751,8978.676
5.943189,8752.735
5.944100,5930.319
7.407832,9815.951
7.408133,11267.606
7.408907,7441.860
7.409090,8359.457
7.409444,14897.579
7.409528,18264.840
7.409791,23054.755
7.410082,14440.433
7.410501,11267.606
7.410584,15936.255
7.410719,36697.248
7.410991,19656.020
7.411186,17130.621
7.411273,28368.794
7.411382,40816.327
7.411764,16293.279
7.412120,10840.108
7.412632,9216.590
7.413390,6299.213
7.517554,7279.345
7.517943,8574.491
7.518097,14732.965
7.699132,41450.777
7.699231,45454.545
7.699311,44692.737
7.699390,50314.465
7.699471,50000.000
7.699552,49382.716
7.699631,50000.000
7.699713,49689.441
7.699793,49382.716
7.699876,49079.755
7.699957,48780.488
7.700041,48484.848
7.700121,48780.488
7.700205,48780.488
7.700288,47904.192
7.700371,48192.771
7.700453,48484.848
7.700537,48192.771
7.700620,47904.192
7.700705,47619.048
7.700788,47619.048
7.700872,47904.192
7.700956,47619.048
7.701041,47337.278
7.701127,46783.626
7.701212,46783.626
7.701296,47337.278
7.701380,47619.048
7.701465,47337.278
7.701551,46783.626
7.701637,46511.628
7.701721,47058.824
7.701808,46783.626
7.701892,46783.626
7.701979,46783.626
7.702066,45977.011
7.702151,46511.628
7.702236,47058.824
7.702323,46511.628
7.702408,46511.628
7.702517,41237.113
7.702602,41237.113
7.702691,45977.011
7.702775,46242.775
7.702864,46242.775
7.702950,45714.286
7.703035,46783.626
7.703125,45714.286
7.703211,45454.545
7.703296,46783.626
7.703387,45454.545
7.703516,36363.636
7.703602,37209.302
7.703688,46511.628
7.703800,40404.040
7.703887,40201.005
7.703973,46242.775
7.704060,46242.775
7.704151,44943.820
7.704239,44692.737
7.704325,45977.011
7.704411,46511.628
7.704498,46242.775
7.704586,45714.286
7.704676,44943.820
7.704809,35874.439
7.704897,36199.095
7.704983,45977.011
7.705069,46511.628
7.705162,44692.737
7.705294,35555.556
7.705381,36529.680
7.705468,45977.011
7.705556,45714.286
7.705670,39603.960
7.705756,40000.000
7.705844,45977.011
7.705932,45454.545
7.706045,39800.995
7.706134,39603.960
7.706223,44943.820
7.706378,32786.885
7.706467,32786.885
7.706555,45197.740
7.706641,45977.011
7.706730,45714.286
7.706817,45454.545
7.706904,45977.011
7.706989,46511.628
7.707119,37209.302
7.707203,37383.178
7.707290,46783.626
7.707378,45714.286
7.707464,45977.011
7.707552,45977.011
7.707641,45197.740
7.707728,45454.545
7.708038,20151.134
7.708214,16460.905
7.708367,24316.109
7.708456,33057.851
7.708586,36529.680
7.708674,36697.248
7.708761,45714.286
7.708850,45454.545
7.708937,45454.545
7.709025,45714.286
7.709113,45454.545
7.709202,45197.740
7.709289,45454.545
7.709377,45714.286
7.709467,44943.820
7.709556,44692.737
7.709665,40404.040
7.709754,40404.040
7.709842,45197.740
7.709932,44943.820
7.710020,44943.820
7.710108,45454.545
7.710197,45197.740
7.710351,32921.811
7.804980,41237.113
7.805079,45454.545
7.805178,40404.040
7.805320,33195.021
7.805399,36199.095
7.805501,44198.895
7.805601,39603.960
7.805704,39408.867
7.805826,35555.556
7.805910,38834.951
7.805993,47904.192
7.806075,48484.848
7.806157,48780.488
7.806240,48484.848
7.806324,47904.192
7.806408,47619.048
7.806491,47904.192
7.806574,48192.771
7.806659,47619.048
7.806744,47058.824
7.806828,47337.278
7.806912,47619.048
7.806997,47337.278
7.807082,47058.824
7.807167,47058.824
7.807252,47058.824
7.807340,46242.775
7.807424,46511.628
7.807510,47058.824
7.807594,47058.824
7.807681,46783.626
7.807765,46783.626
7.807852,46783.626
7.807938,46242.775
7.808025,46242.775
7.808112,45977.011
7.808196,46783.626
7.808308,40816.327
7.808392,40816.327
7.808480,46511.628
7.808568,45454.545
7.808656,45454.545
7.808740,46511.628
7.808874,36697.248
7.808958,36697.248
7.809047,46242.775
7.809134,45454.545
7.809220,46242.775
7.809309,45714.286
7.809396,45454.545
7.809483,45977.011
7.809570,45977.011
7.809658,45714.286
7.809747,45197.740
7.809857,40201.005
7.809945,40404.040
7.810034,45197.740
7.810168,35874.439
7.810253,36529.680
7.810341,46242.775
7.810429,45454.545
7.810545,39215.686
7.810676,32388.664
7.810762,36866.359
7.810850,45977.011
7.810938,45454.545
7.811026,45454.545
7.811210,29411.765
7.811297,29520.295
7.811384,45977.011
7.811472,45714.286
7.811561,45197.740
7.811651,44692.737
7.811739,44943.820
7.811943,27397.260
7.812031,27397.260
7.812118,45714.286
7.812206,45714.286
7.812295,45197.740
7.812563,22408.964
7.813410,7174.888
7.813541,8179.959
7.813696,27972.028
7.910895,22535.211
7.911149,16460.905
7.911379,16528.926
