Folder1	Folder2	Night	Label	Number
cell-0	20180610	2018/06/10	LABO	5
cell-0	20180610	2018/06/10	LACI	2
cell-0	20180610	2018/06/10	LANO	1
cell-0	20180610	2018/06/10	NOID	4
cell-0	20180610	2018/06/10	NYHU	1
cell-0	20180610	2018/06/10	PESU	1
cell-0	20180610	2018/06/10	TABR	4
cell-0	20180616	2018/06/16	LABO	6
cell-0	20180616	2018/06/16	NOID	5
cell-0	20180616	2018/06/16	TABR	3
cell-100	20180725	2018/07/25	EPFU	20
cell-100	20180725	2018/07/25	LABO	6
cell-100	20180725	2018/07/25	LACI	1
cell-100	20180725	2018/07/25	LANO	10
cell-100	20180725	2018/07/25	MYSPP	1
cell-100	20180725	2018/07/25	NOID	7
cell-100	20180725	2018/07/25	PESU	2
cell-100	20180725	2018/07/25	foraging	1
cell-100	20180726	2018/07/26	EPFU	18
cell-100	20180726	2018/07/26	LABO	13
cell-100	20180726	2018/07/26	LACI	3
cell-100	20180726	2018/07/26	LANO	6
cell-100	20180726	2018/07/26	MYSPP	3
cell-100	20180726	2018/07/26	NOID	23
cell-100	20180726	2018/07/26	NYHU	2
cell-100	20180726	2018/07/26	TABR	1
cell-100	20180726	2018/07/26	foraging	2
cell-100	20180726	2018/07/26	social	1
cell-12	20180723	2018/07/23	LABO	2
cell-12	20180723	2018/07/23	LANO	1
cell-12	20180723	2018/07/23	NOID	4
cell-12	20180724	2018/07/24	EPFU	12
cell-12	20180724	2018/07/24	LABO	5
cell-12	20180724	2018/07/24	LANO	11
cell-12	20180724	2018/07/24	NOID	35
cell-12	20180724	2018/07/24	NYHU	6
cell-12	20180724	2018/07/24	PESU	6
cell-12	20180724	2018/07/24	TABR	6
cell-12	20180724	2018/07/24	foraging	3
cell-13	20180714	2018/07/14	EPFU	1
cell-13	20180714	2018/07/14	LABO	20
cell-13	20180714	2018/07/14	LANO	2
cell-13	20180714	2018/07/14	MYSPP	1
cell-13	20180714	2018/07/14	NOID	19
cell-13	20180714	2018/07/14	NYHU	22
cell-13	20180714	2018/07/14	PESU	34
cell-13	20180714	2018/07/14	foraging	5
cell-13	20180714	2018/07/14	social	1
cell-13	20180715	2018/07/15	EPFU	1
cell-13	20180715	2018/07/15	LABO	21
cell-13	20180715	2018/07/15	MYSPP	1
cell-13	20180715	2018/07/15	NOID	23
cell-13	20180715	2018/07/15	NYHU	8
cell-13	20180715	2018/07/15	PESU	24
cell-13	20180715	2018/07/15	foraging	1
cell-14	20180531	2018/05/31	MYSPP	1
cell-14	20180531	2018/05/31	NOID	2
cell-14	20180603	2018/06/03	LABO	6
cell-14	20180603	2018/06/03	NOID	2
cell-14	20180603	2018/06/03	PESU	1
cell-15	20180718	2018/07/18	LABO	5
cell-15	20180718	2018/07/18	LAIN	2
cell-15	20180718	2018/07/18	NOID	13
cell-15	20180718	2018/07/18	NYHU	3
cell-15	20180718	2018/07/18	TABR	4
cell-15	20180718	2018/07/18	foraging	1
cell-15	20180719	2018/07/19	EPFU	3
cell-15	20180719	2018/07/19	LABO	7
cell-15	20180719	2018/07/19	LAIN	1
cell-15	20180719	2018/07/19	LANO	1
cell-15	20180719	2018/07/19	NOID	13
cell-15	20180719	2018/07/19	NYHU	2
cell-15	20180719	2018/07/19	TABR	2
cell-15	20180719	2018/07/19	foraging	1
cell-18	20180604	2018/06/04	Feeding	1
cell-18	20180604	2018/06/04	LABO	7
cell-18	20180604	2018/06/04	MYSPP	1
cell-18	20180604	2018/06/04	NOID	6
cell-18	20180604	2018/06/04	NYHU	3
cell-18	20180604	2018/06/04	PESU	3
cell-18	20180604	2018/06/04	foraging	1
cell-18	20180605	2018/06/05	EPFU	2
cell-18	20180605	2018/06/05	LABO	4
cell-18	20180605	2018/06/05	NOID	6
cell-18	20180605	2018/06/05	NYHU	4
cell-18	20180605	2018/06/05	PESU	4
cell-19	20180725	2018/07/25	LABO	5
cell-19	20180725	2018/07/25	NOID	5
cell-19	20180725	2018/07/25	NYHU	1
cell-19	20180725	2018/07/25	PESU	3
cell-19	20180726	2018/07/26	EPFU	1
cell-19	20180726	2018/07/26	LABO	2
cell-19	20180726	2018/07/26	NOID	17
cell-19	20180726	2018/07/26	NYHU	7
cell-19	20180726	2018/07/26	PESU	2
cell-19	20180726	2018/07/26	foraging	1
cell-1	20180612	2018/06/12	Feeding	2
cell-1	20180612	2018/06/12	LABO	8
cell-1	20180612	2018/06/12	LANO	1
cell-1	20180612	2018/06/12	NOID	9
cell-1	20180612	2018/06/12	NYHU	6
cell-1	20180612	2018/06/12	PESU	1
cell-1	20180615	2018/06/15	LABO	6
cell-1	20180615	2018/06/15	NOID	7
cell-1	20180615	2018/06/15	NYHU	1
cell-1	20180615	2018/06/15	PESU	1
cell-20	20180615	2018/06/15	EPFU	1
cell-20	20180615	2018/06/15	LABO	4
cell-20	20180615	2018/06/15	LACI	1
cell-20	20180615	2018/06/15	NOID	6
cell-20	20180615	2018/06/15	NYHU	6
cell-20	20180615	2018/06/15	PESU	1
cell-20	20180615	2018/06/15	foraging	1
cell-20	20180618	2018/06/18	LABO	2
cell-20	20180618	2018/06/18	LACI	3
cell-20	20180618	2018/06/18	MYSPP	1
cell-20	20180618	2018/06/18	NOID	3
cell-20	20180618	2018/06/18	NYHU	3
cell-20	20180618	2018/06/18	PESU	1
cell-20	20180618	2018/06/18	TABR	4
cell-20	20180618	2018/06/18	foraging	1
cell-21	20180702	2018/07/02	LABO	3
cell-21	20180702	2018/07/02	LANO	1
cell-21	20180702	2018/07/02	NOID	7
cell-21	20180702	2018/07/02	NYHU	1
cell-21	20180702	2018/07/02	PESU	3
cell-21	20180702	2018/07/02	TABR	1
cell-21	20180705	2018/07/05	EPFU	1
cell-21	20180705	2018/07/05	LABO	7
cell-21	20180705	2018/07/05	LACI	1
cell-21	20180705	2018/07/05	LANO	5
cell-21	20180705	2018/07/05	NOID	11
cell-21	20180705	2018/07/05	NYHU	7
cell-21	20180705	2018/07/05	PESU	2
cell-24	20180617	2018/06/17	LABO	7
cell-24	20180617	2018/06/17	LACI	1
cell-24	20180617	2018/06/17	LANO	2
cell-24	20180617	2018/06/17	NOID	9
cell-24	20180617	2018/06/17	NYHU	3
cell-24	20180619	2018/06/19	LABO	6
cell-24	20180619	2018/06/19	LANO	1
cell-24	20180619	2018/06/19	NOID	6
cell-24	20180619	2018/06/19	NYHU	3
cell-24	20180619	2018/06/19	PESU	1
cell-24	20180619	2018/06/19	TABR	2
cell-24	20180619	2018/06/19	foraging	1
cell-27	20180606	2018/06/06	LABO	2
cell-27	20180606	2018/06/06	NOID	3
cell-27	20180606	2018/06/06	NYHU	3
cell-27	20180607	2018/06/07	LABO	5
cell-27	20180607	2018/06/07	NOID	3
cell-30	20180720	2018/07/20	EPFU	4
cell-30	20180720	2018/07/20	LABO	6
cell-30	20180720	2018/07/20	LANO	10
cell-30	20180720	2018/07/20	NOID	36
cell-30	20180720	2018/07/20	NYHU	13
cell-30	20180720	2018/07/20	TABR	5
cell-31	20180724	2018/07/24	LABO	9
cell-31	20180724	2018/07/24	NOID	14
cell-31	20180724	2018/07/24	NYHU	8
cell-31	20180724	2018/07/24	PESU	2
cell-31	20180724	2018/07/24	foraging	2
cell-31	20180725	2018/07/25	LABO	7
cell-31	20180725	2018/07/25	LAIN	3
cell-31	20180725	2018/07/25	NOID	13
cell-31	20180725	2018/07/25	NYHU	8
cell-31	20180725	2018/07/25	PESU	2
cell-31	20180725	2018/07/25	foraging	1
cell-32	20180619	2018/06/19	EPFU	5
cell-32	20180619	2018/06/19	LABO	5
cell-32	20180619	2018/06/19	LACI	2
cell-32	20180619	2018/06/19	LANO	4
cell-32	20180619	2018/06/19	NOID	24
cell-32	20180619	2018/06/19	NYHU	3
cell-32	20180619	2018/06/19	TABR	7
cell-32	20180619	2018/06/19	foraging	1
cell-32	20180620	2018/06/20	EPFU	2
cell-32	20180620	2018/06/20	LABO	9
cell-32	20180620	2018/06/20	LACI	2
cell-32	20180620	2018/06/20	LANO	2
cell-32	20180620	2018/06/20	NOID	16
cell-32	20180620	2018/06/20	NYHU	9
cell-32	20180620	2018/06/20	TABR	3
cell-33	20180622	2018/06/22	EPFU	1
cell-33	20180622	2018/06/22	LABO	8
cell-33	20180622	2018/06/22	LANO	4
cell-33	20180622	2018/06/22	NOID	14
cell-33	20180622	2018/06/22	NYHU	7
cell-33	20180622	2018/06/22	PESU	1
cell-33	20180622	2018/06/22	foraging	1
cell-37	20180613	2018/06/13	EPFU	1
cell-37	20180613	2018/06/13	LABO	8
cell-37	20180613	2018/06/13	LAIM	1
cell-37	20180613	2018/06/13	MYSPP	1
cell-37	20180613	2018/06/13	NOID	7
cell-37	20180613	2018/06/13	NYHU	7
cell-37	20180614	2018/06/14	LABO	8
cell-37	20180614	2018/06/14	LANO	1
cell-37	20180614	2018/06/14	NOID	7
cell-37	20180614	2018/06/14	NYHU	9
cell-37	20180614	2018/06/14	PESU	2
cell-39	20180623	2018/06/23	EPFU	3
cell-39	20180623	2018/06/23	LABO	3
cell-39	20180623	2018/06/23	LACI	2
cell-39	20180623	2018/06/23	LANO	2
cell-39	20180623	2018/06/23	MYSPP	2
cell-39	20180623	2018/06/23	NOID	7
cell-39	20180623	2018/06/23	NYHU	1
cell-39	20180623	2018/06/23	PESU	2
cell-39	20180623	2018/06/23	TABR	2
cell-39	20180624	2018/06/24	EPFU	7
cell-39	20180624	2018/06/24	LABO	3
cell-39	20180624	2018/06/24	LACI	4
cell-39	20180624	2018/06/24	LANO	1
cell-39	20180624	2018/06/24	MYLU	1
cell-39	20180624	2018/06/24	MYSPP	2
cell-39	20180624	2018/06/24	NOID	6
cell-39	20180624	2018/06/24	NYHU	6
cell-39	20180624	2018/06/24	PESU	6
